chase_order,priority,event_type,date,diary_reference,source_pages,naid,release,catalog_title,participants,countries,topics,summary,compiler_use,chase_target,source_control,search_terms_hit,catalog_url,pdf_url,pdf_filename,substantive_record_found,memcon_telcon_or_trip_file,source_note_verified,final_selection_decision,compiler_notes
30,Medium-high,Briefing lead,1999-04-06,Presidential Daily Diary reference: Kosovo and Balkans briefing,page 4,17368193,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 4/9/99; 4/14/99; 4/27/99; 4/30/99; 5/2/99; 5/20/99; 5/24/99; 5/28/99; 6/2/99; 6/10/99; 6/20/99],Bill Clinton; William Cohen; John Podesta; Samuel Berger,United States; Kosovo; Serbia,Kosovo; Bosnia; NATO Strategy,The diary records a morning briefing on Kosovo and the Balkans with Secretary Cohen and senior White House officials.,Use as a Kosovo campaign chronology lead; chase Defense/NSC briefing papers.,"Chase briefing papers, decision memoranda, staff notes, and meeting readouts.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Bosnia; Kosovo; NATO; North Atlantic; Russia; Russian; Solana; Yeltsin,https://catalog.archives.gov/id/17368193,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/3681/17368193/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-010-2015.pdf,42-t-7262157-20100083F-002-010-2015.pdf,,,,,
31,High,Meeting lead,1999-04-22,Presidential Daily Diary reference: meeting with NATO Secretary General Javier Solana,pages 35-36,147870961,LPWJC 2013-0549-F,[04/18/1999-04/30/1999],Bill Clinton; Javier Solana; Samuel Berger,United States,NATO Strategy; Kosovo,"The diary records a meeting with NATO Secretary General Javier Solana, a NATO Summit press statement, and a follow-on meeting with Solana and Berger.",Use as a Washington NATO Summit and Kosovo campaign lead; chase Solana memcon.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Kosovo; NATO; North Atlantic; North Atlantic Council; Russia; Russian; Solana; Washington Summit; Yeltsin,https://catalog.archives.gov/id/147870961,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-004-2018.pdf,42-t-101784486-20130549F-011-004-2018.pdf,,,,,
32,High,Summit or trip lead,1999-04-23,Presidential Daily Diary reference: NATO 50th Anniversary Summit weekend,pages 40-49,147870961,LPWJC 2013-0549-F,[04/18/1999-04/30/1999],Bill Clinton; Jacques Chirac; Javier Solana; Boris Yeltsin; Strobe Talbott,United States; France; Russia; Ukraine,NATO Strategy; NATO enlargement; NATO-Russia; Kosovo,"The diary records the NATO 50th Anniversary Summit, a Chirac meeting, the NATO dinner, North Atlantic Council sessions, the NATO-Ukraine Commission, and an attempted Yeltsin call during the summit weekend.","High-priority summit chronology; chase summit memcons, NAC files, public papers, and allied telcons.","Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Kosovo; NATO; North Atlantic; North Atlantic Council; Russia; Russian; Solana; Washington Summit; Yeltsin,https://catalog.archives.gov/id/147870961,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-004-2018.pdf,42-t-101784486-20130549F-011-004-2018.pdf,,,,,
33,Medium-high,Summit or trip lead,1999-05-05,Presidential Daily Diary reference: NATO Headquarters visit and allied forces briefing,pages 19-24,147870963,LPWJC 2013-0549-F,[05/01/1999-05/14/1999],Bill Clinton; Javier Solana; Sandy Vershbow; Antony Blinken; Madeleine Albright; William Cohen,United States; Belgium,NATO Strategy; Kosovo,"The diary records arrival at NATO Headquarters, greeting by Solana, a meeting with U.S. and NATO officials, an allied forces briefing, and the appendix listing Vershbow, Blinken, Solana, and NATO staff.",Use as a NATO Headquarters/Kosovo campaign lead; chase NATO and NSC European Affairs files.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Brussels; Kosovo; NATO; North Atlantic; Russia; Russian; Solana,https://catalog.archives.gov/id/147870963,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-011-005-2018.pdf,42-t-101784486-20130549F-011-005-2018.pdf,,,,,
34,High,Call or telcon lead,1999-06-10,Presidential Daily Diary reference: Kosovo Military Technical Agreement calls,pages 59-61,17368193,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 4/9/99; 4/14/99; 4/27/99; 4/30/99; 5/2/99; 5/20/99; 5/24/99; 5/28/99; 6/2/99; 6/10/99; 6/20/99],Bill Clinton; Wesley Clark; Javier Solana; Boris Yeltsin; Jacques Chirac; Massimo D'Alema; Jose Maria Aznar; Jean Chretien,United States; Russia; France; Italy; Spain; Canada; Kosovo; Serbia,Kosovo; NATO-Russia; NATO Strategy,"The diary records calls with Wesley Clark, Javier Solana, Boris Yeltsin, Jacques Chirac, Massimo D'Alema, Jose Maria Aznar, and Jean Chretien around the Kosovo Military Technical Agreement.",High-priority Kosovo settlement lead; chase complete telcons and NATO/SACEUR traffic.,"Chase telcon text, call sheet, NSC prep notes, and same-day follow-up memoranda.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Bosnia; Kosovo; NATO; North Atlantic; Russia; Russian; Solana; Yeltsin,https://catalog.archives.gov/id/17368193,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/93/3681/17368193/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-010-2015.pdf,42-t-7262157-20100083F-002-010-2015.pdf,,,,,
35,High,Summit or trip lead,1999-11-18,Presidential Daily Diary reference: OSCE Istanbul Summit and bilateral meeting with Yeltsin,pages 51-59,17368195,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 10/6/99; 10/11/99; 10/18/99; 10/28/99; 11/6/99; 10/11/99; 10/18/99; 10/28/99; 11/6/99; 11/17/99; 11/18/99; 11/30/99],Bill Clinton; Boris Yeltsin; Madeleine Albright; James Steinberg; Antony Blinken,United States; Russia; Turkey,OSCE/CSCE; NATO-Russia; CFE,The diary records the OSCE Istanbul Summit program and a bilateral meeting with Boris Yeltsin; the appendix lists the U.S. and Russian participants.,Use as an OSCE/CFE/NATO-Russia architecture lead; chase summit memcons and Istanbul files.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Istanbul; OSCE; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/17368195,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/95/3681/17368195/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-012-2015.pdf,42-t-7262157-20100083F-002-012-2015.pdf,,,,,
36,High,Treaty or public-action lead,1999-11-19,Presidential Daily Diary reference: CFE Treaty signing at Istanbul,pages 72 and 79,147870987,LPWJC 2013-0549-F,[11/10/1999-11/19/1999],Bill Clinton; Madeleine Albright,United States; Turkey,CFE; OSCE/CSCE; European Security Architecture,The diary records Clinton's participation in the Conventional Armed Forces in Europe Treaty signing and lists attendees in the appendix.,"Use as a CFE architecture anchor; chase treaty-signing files, OSCE Summit records, and source-note classification details.","Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Bosnia; CFE; Istanbul; OSCE; Russia,https://catalog.archives.gov/id/147870987,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-012-005-2018.pdf,42-t-101784486-20130549F-012-005-2018.pdf,,,,,
37,Medium-high,Summit or trip lead,1999-11-23,"Presidential Daily Diary reference: Kosovo visit, NATO officials, and Kosovar leaders",pages 37-43,147870989,LPWJC 2013-0549-F,[11/20/1999-11/30/1999],Bill Clinton; Madeleine Albright; Bernard Kouchner; Klaus Reinhardt; Wesley Clark,United States; Kosovo,Kosovo; KFOR; NATO Strategy,"The diary records meetings at Pristina with U.S. and NATO officials, Kosovar leaders, and Camp Bondsteel personnel; appendices identify KFOR and UN Kosovo participants.","Use as a post-conflict Kosovo/KFOR chronology lead; chase KFOR, UNMIK, and NSC trip files.","Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Kosovo; NATO,https://catalog.archives.gov/id/147870989,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-012-006-2018.pdf,42-t-101784486-20130549F-012-006-2018.pdf,,,,,
38,Medium-high,Summit or trip lead,2000-06-03,Presidential Daily Diary reference: Moscow meetings and dinner with Vladimir Putin,pages 22-35,147871021,LPWJC 2013-0549-F,[06/01/2000-06/11/2000],Bill Clinton; Vladimir Putin; Strobe Talbott; Madeleine Albright; Samuel Berger; Igor Ivanov; Georgy Mamedov,United States; Russia,NATO-Russia; European Security Architecture,"The diary records Clinton's Moscow arrival, dinner with Vladimir Putin, the June 4 Putin meeting, expanded U.S.-Russian sessions, a Kremlin walk, and a joint news conference.",Use as late-volume NATO-Russia and strategic-stability context; chase Moscow summit memoranda.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.","Broader PDD release; verify page image, date range, and OCR hit before citing.",Brussels; Mamedov; Putin; Russia; Russian; Yeltsin,https://catalog.archives.gov/id/147871021,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-013-011-2018.pdf,42-t-101784486-20130549F-013-011-2018.pdf,,,,,
39,Medium-high,Meeting lead,2000-07-21,Presidential Daily Diary reference: Okinawa G-8 meeting with Vladimir Putin,pages 12 and 16,17368201,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 4/4/00; 4/1200; 4/25/00; 5/7/00; 5/18/00; 5/22/00; 5/26/00; 6/7/00; 6/8/00; 6/18/00],Bill Clinton; Vladimir Putin; Strobe Talbott; James Steinberg; Mark Medish,United States; Russia; Japan,NATO-Russia; European Security Architecture,"The diary records Clinton greeting Putin and meeting with him at Okinawa, with a foreign-policy briefing appendix listing Russia/Eurasia staff.",Use as late-volume Putin/NATO-Russia context; chase Okinawa summit memcons.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Putin; Russia; Russian,https://catalog.archives.gov/id/17368201,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/1/3682/17368201/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_003/42-t-7262157-20100083F-003-003-2015.pdf,42-t-7262157-20100083F-003-003-2015.pdf,,,,,
40,Medium-high,Treaty or public-action lead,2000-09-06,Presidential Daily Diary reference: United Nations meeting with Putin and strategic stability signing,pages 31-32,17368201,LPWJC 2010-0083-F,[Ellen McCathran - Presidential Daily Diary - Hardcopy 4/4/00; 4/1200; 4/25/00; 5/7/00; 5/18/00; 5/22/00; 5/26/00; 6/7/00; 6/8/00; 6/18/00],Bill Clinton; Vladimir Putin; Strobe Talbott,United States; Russia,NATO-Russia; European Security Architecture,The diary records a Waldorf Astoria meeting with Putin and a signing ceremony for the U.S.-Russia Strategic Stability Cooperation Initiative.,Use as late-volume strategic-stability context and as a lead to UN Millennium Summit files.,"Chase summit memcons, trip book tabs, briefing materials, and delegation follow-up files.",User-supplied 2010-0083-F release; verify diary page image and any withdrawal sheets before citing.,2010-0083-F; Putin; Russia; Russian,https://catalog.archives.gov/id/17368201,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/1/3682/17368201/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_003/42-t-7262157-20100083F-003-003-2015.pdf,42-t-7262157-20100083F-003-003-2015.pdf,,,,,
