rank,category,priority_score,date,type,title,chapter,selection_decision,production_issues,coverage_signals,next_action,catalog_url,pdf_url,source_note
115,Promote Leads,83,1993-01-01,Scout Lead,Bosnia - Reports [3],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482497,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/97/4824/40482497/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_024/42-t-7585486-20080994F-024-005-2016/42_t_7585486_20080994F_024_005_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Reports [3], NAID 40482497."
116,Promote Leads,83,1994-01-01,Scout Lead,"[Bosnia - Hercegovina, April 1994]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482389,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/4823/40482389/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_013/42-t-7585484-20080994F-013-006-2016/42_t_7585484_20080994F_013_006_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, [Bosnia - Hercegovina, April 1994], NAID 40482389."
117,Promote Leads,83,1994-01-01,Scout Lead,"[Bosnia - Hercegovina, February 1994] [1]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482381,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/4823/40482381/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_012/42-t-7585484-20080994F-012-008-2016/42_t_7585484_20080994F_012_008_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, [Bosnia - Hercegovina, February 1994] [1], NAID 40482381."
118,Promote Leads,83,1994-01-01,Scout Lead,"Bosnia - Croatia Signing Ceremony, March 18, 1994 [1]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482310,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/4823/40482310/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_005/42-t-7585484-20080994F-005-003-2016/42_t_7585484_20080994F_005_003_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Croatia Signing Ceremony, March 18, 1994 [1], NAID 40482310."
119,Promote Leads,83,1994-01-01,Scout Lead,"Bosnia - July 30, 1994 (Contact Group Ministerial) [2]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361503,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-004-012-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - July 30, 1994 (Contact Group Ministerial) [2], NAID 120361503."
120,Promote Leads,83,1994-01-01,Scout Lead,Bosnia - October 1994 [Folder 2] [4],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361529,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-005-011-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - October 1994 [Folder 2] [4], NAID 120361529."
121,Promote Leads,83,1994-01-01,Scout Lead,"Bosnia and Bihac, November 1994 [6]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361427,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-001-010-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia and Bihac, November 1994 [6], NAID 120361427."
122,Promote Leads,83,1994-01-01,Scout Lead,Bosnia Post-Bihac (Mid-Nov. - Early-Dec. 1994) [3],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361433,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-002-003-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia Post-Bihac (Mid-Nov. - Early-Dec. 1994) [3], NAID 120361433."
123,Promote Leads,83,1994-01-01,Scout Lead,Bosnia Principals Committee/Deputies Committee 1994 Meetings [2],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482484,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/84/4824/40482484/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_023/42-t-7585486-20080994F-023-001-2016/42_t_7585486_20080994F_023_001_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia Principals Committee/Deputies Committee 1994 Meetings [2], NAID 40482484."
124,Promote Leads,83,1994-01-01,Scout Lead,"Bosnia, June 1994 [3]",Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482457,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/4824/40482457/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-003-2016/42_t_7585486_20080994F_020_003_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia, June 1994 [3], NAID 40482457."
125,Promote Leads,83,1995-01-01,Scout Lead,Bosnia - September 1995 (Late) [4],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361763,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-014-012-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 (Late) [4], NAID 120361763."
126,Promote Leads,83,1995-01-01,Scout Lead,Bosnia - September 1995 (Late) [8],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361771,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-015-004-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 (Late) [8], NAID 120361771."
127,Promote Leads,83,1995-01-01,Scout Lead,Bosnia - September 1995 [4],Crisis Security Files,Pending,selection,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361715,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-012-012-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 [4], NAID 120361715."
128,Rebalance Coverage,81,1993-01-01,Scout Lead,Latvia [2],NATO-Russia and Partnership,Pending,selection,non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23901917,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585493/42-t-7585493-20111037F-007-018-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Latvia [2], NAID 23901917."
129,Rebalance Coverage,81,1993-01-01,Scout Lead,Lithuania - Meeting with Deputy Foreign Minister Vygaudas Usackas,NATO Strategy and Enlargement,Pending,selection,non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23902171,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585471/42-t-7585471-20111038F-002-020-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Lithuania - Meeting with Deputy Foreign Minister Vygaudas Usackas, NAID 23902171."
130,Rebalance Coverage,81,1993-01-01,Scout Lead,Lithuania [1],NATO-Russia and Partnership,Pending,selection,non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23902173,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585471/42-t-7585471-20111038F-002-022-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Antony Blinken's Files, Lithuania [1], NAID 23902173."
131,Rebalance Coverage,81,1993-01-01,Scout Lead,Lithuania [8],NATO-Russia and Partnership,Pending,selection,non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23902180,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585493/42-t-7585493-20111038F-003-004-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Lithuania [8], NAID 23902180."
132,Promote Leads,81,1993-01-01,Scout Lead,"Bosnia - Hercegovina, May - June 1993 [3]",Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482344,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/44/4823/40482344/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_008/42-t-7585484-20080994F-008-007-2016/42_t_7585484_20080994F_008_007_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, Bosnia - Hercegovina, May - June 1993 [3], NAID 40482344."
133,Promote Leads,81,1993-01-01,Scout Lead,Bosnia - Letters [1],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482459,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/59/4824/40482459/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_020/42-t-7585486-20080994F-020-005-2016/42_t_7585486_20080994F_020_005_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Letters [1], NAID 40482459."
134,Promote Leads,81,1993-01-01,Scout Lead,Bosnia - NATO [1],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482473,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/73/4824/40482473/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_021/42-t-7585486-20080994F-021-010-2016/42_t_7585486_20080994F_021_010_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - NATO [1], NAID 40482473."
135,Promote Leads,81,1993-01-01,Scout Lead,Bosnia - NATO [2],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482474,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/4824/40482474/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_022/42-t-7585486-20080994F-022-001-2016/42_t_7585486_20080994F_022_001_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - NATO [2], NAID 40482474."
136,Promote Leads,81,1993-01-01,Scout Lead,Bosnia - Talking Points [2],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482504,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4825/40482504/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_025/42-t-7585486-20080994F-025-001-2016/42_t_7585486_20080994F_025_001_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Talking Points [2], NAID 40482504."
137,Promote Leads,81,1993-01-01,Scout Lead,Bosnia - Talking Points [5],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482507,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/4825/40482507/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_025/42-t-7585486-20080994F-025-004-2016/42_t_7585486_20080994F_025_004_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Donald Kerrick's Files, Bosnia - Talking Points [5], NAID 40482507."
138,Promote Leads,81,1994-01-01,Scout Lead,"[Bosnia - Hercegovina, February 1994 Implementation] [1]",Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/40482383,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/83/4823/40482383/content/presidential-libraries/clinton/foia/2008/2008-0994-F/2008-0994-F-Bosnia-JPG/Box_012/42-t-7585484-20080994F-012-010-2016/42_t_7585484_20080994F_012_010_2016_Page_001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Jane Holl's Files, [Bosnia - Hercegovina, February 1994 Implementation] [1], NAID 40482383."
139,Promote Leads,81,1995-01-01,Scout Lead,Bosnia - August 1995: Late [3],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361703,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-012-006-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - August 1995: Late [3], NAID 120361703."
140,Promote Leads,81,1995-01-01,Scout Lead,Bosnia - September 1995 (Early): Early Sept. [4],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361739,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-013-012-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 (Early): Early Sept. [4], NAID 120361739."
141,Promote Leads,81,1995-01-01,Scout Lead,Bosnia - September 1995 (Early): Early-Mid. [4],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361749,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-014-005-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 (Early): Early-Mid. [4], NAID 120361749."
142,Promote Leads,81,1995-01-01,Scout Lead,Bosnia - September 1995 (Late) [5],Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/120361765,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0687-f/42-t-7585499-20130687F-015-001-2016.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia - September 1995 (Late) [5], NAID 120361765."
143,Promote Leads,81,1996-01-01,Scout Lead,"Bosnia/Iran/IOB [Intelligence Oversight Board], April-May 1996 [2]",Crisis Security Files,Context candidate,,Madrid/accession thread,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/236750693,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585499/7585499-20060996F-002-002-2022-001.JPG,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Alexander Vershbow's Files, Bosnia/Iran/IOB [Intelligence Oversight Board], April-May 1996 [2], NAID 236750693."
144,Rebalance Coverage,79,1993-01-01,Scout Lead,Latvia: Russia-Latvia [1],NATO-Russia and Partnership,Context candidate,,non-crisis lane,"Extract document-level candidates with actual dates, page spans, markings, and source path.",https://catalog.archives.gov/id/23901923,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/wjc-nscea/7585493/42-t-7585493-20111037F-008-006-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Records of the National Security Council European Affairs Office (Clinton Administration), Richard Norland's Files, Latvia: Russia-Latvia [1], NAID 23901923."
145,Rebalance Coverage,79,1993-04-21,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101329,https://clinton.presidentiallibraries.us/files/original/cf38634dd5644dda387d6312d6065d67.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101329. Confidential."
146,Rebalance Coverage,79,1994-06-21,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary and President Michal Kovac of Slovakia,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101379,https://clinton.presidentiallibraries.us/files/original/7929c40c3476895912cb064cb38d65c5.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101379. Confidential."
147,Rebalance Coverage,79,1994-10-22,Memcon,Memorandum of Conversation - President Lech Walesa of Poland,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101397,https://clinton.presidentiallibraries.us/files/original/711e8eeee0ec391e78261641286a753b.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101397. Confidential."
148,Rebalance Coverage,79,1994-10-22,Memcon,Memorandum of Conversation - Prime Minister Waldemar Pawlak of Poland,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101398,https://clinton.presidentiallibraries.us/files/original/ea89febed2cedbffdbdd847cd14dcb2b.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release LP-WJC/DOS-16-1, Item 101398. Confidential."
149,Rebalance Coverage,79,1994-12-05,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary and President Michal Kovac of Slovakia,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101380,https://clinton.presidentiallibraries.us/files/original/3d7fbd346acab3f002b7fd77406f7e2a.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101380. Confidential."
150,Rebalance Coverage,79,1995-06-06,Memcon,Memorandum of Conversation - Prime Minister Gyula Horn of Hungary,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101418,https://clinton.presidentiallibraries.us/files/original/a33276808a3f81e7a2fbf61a6b1cf017.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0779-M, Item 101418. Confidential."
151,Rebalance Coverage,79,1995-11-21,Telcon,Memorandum of Telephone Conversation - President Lech Walesa of Poland,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101446,https://clinton.presidentiallibraries.us/files/original/4cd21c7557486b30f58af921b469a5b4.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0769-M, Item 101446. Confidential."
152,Rebalance Coverage,79,1996-01-13,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary and President Michal Kovac of Slovakia,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/101453,https://clinton.presidentiallibraries.us/files/original/37bfb089f2eb05cc971a5706efdfad91.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Item 101453. Confidential."
153,Rebalance Coverage,79,1996-06-03,Memcon,Memorandum of Conversation - Former President Lech Walesa of Poland,NATO Strategy and Enlargement,Include candidate,chronology,Madrid/accession thread; non-crisis lane,Verify Washington time and chronological placement.,https://clinton.presidentiallibraries.us/items/show/118499,https://clinton.presidentiallibraries.us/files/original/d38254e42b9f25ea4c5737c005187a37.pdf,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0780-M, Item 118499. Confidential."
154,Chase Diary Leads,79,1997-07-03,Context,Presidential Daily Diary reference: pre-Madrid conference call with Helmut Kohl,NATO Strategy and Enlargement,Context candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870887,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-007-017-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [07/01/1997-07/31/1997], NAID 147870887, Unclassified diary record. Source pages: page 8."
155,Chase Diary Leads,79,1998-03-25,Context,Presidential Daily Diary reference: NATO enlargement ratification briefing and remarks,NATO Strategy and Enlargement,Context candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870909,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-008-011-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [03/15/1998-03/31/1998], NAID 147870909, Unclassified diary record. Source pages: pages 52-53."
156,Chase Diary Leads,79,1998-04-30,Context,Presidential Daily Diary reference: bipartisan support meeting for NATO enlargement,NATO Strategy and Enlargement,Context candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870913,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-002-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [04/15/1998-04/30/1998], NAID 147870913, Unclassified diary record. Source pages: page 81."
157,Chase Diary Leads,79,1998-05-08,Context,Presidential Daily Diary reference: calls with Javier Solana and Vaclav Havel,NATO Strategy and Enlargement,Context candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/147870915,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-003-2018.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2013-0549-F, [05/01/1998-05/15/1998], NAID 147870915, Unclassified diary record. Source pages: pages 11 and 13."
158,Chase Diary Leads,79,1998-05-12,Context,Presidential Daily Diary reference: NATO accession ratification ceremony,NATO Strategy and Enlargement,Context candidate,,Madrid/accession thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/17368188,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/3681/17368188/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-006-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2010-0083-F, [Ellen McCathran - Presidential Daily Diary - Hardcopy 5/3/98; 5/21/98; 5/22/98; 5/24/98; 6/3/98; 6/11/98; 6/21/98], NAID 17368188, Unclassified diary record. Source pages: pages 12-13."
159,Chase Diary Leads,79,1998-09-02,Context,Presidential Daily Diary reference: Moscow meeting with Yeltsin and common-security signing,NATO-Russia and Partnership,Context candidate,,NATO-Russia thread; late-volume coverage; non-crisis lane,"Chase substantive memcon, telcon, briefing book, trip file, or summit file.",https://catalog.archives.gov/id/17368189,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/89/3681/17368189/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-007-2015.pdf,"Source: National Archives and Records Administration, National Archives Catalog, Clinton Presidential Records, Presidential Daily Diary, Ellen McCathran Files, Release LPWJC 2010-0083-F, [Ellen McCathran - Presidential Daily Diary - Hardcopy 7/7/98; 7/17/98; 7/19/98; 7/29/98; 8/1/98; 8/3/98; 8/21/98; 8/30/98; 9/2/98; 9/15/98; 9/18/98; 9/26/98], NAID 17368189, Unclassified diary record. Source pages: pages 57-58."
